communityName,countyCode,communityCode,state,population,murders,murdPerPop,rapes,rapesPerPop,robberies,robbbPerPop,assaults,assaultPerPop,burglaries,burglPerPop,larcenies,larcPerPop,autoTheft,autoTheftPerPop,arsons,arsonsPerPop,ViolentCrimesPerPop,nonViolPerPop
Suffolkcity,800,76432,VA,52141,9,16.22,37,66.7,160,288.42,304,547.99,646,1164.49,1974,3558.36,254,457.86,26,46.87,919.33,5227.58
Martinsvillecity,690,49784,VA,16162,2,12.52,7,43.81,22,137.7,78,488.2,164,1026.48,980,6133.82,54,337.99,9,56.33,682.23,7554.61
Lynchburgcity,680,47672,VA,66049,3,4.47,45,67,107,159.32,351,522.63,560,833.83,2316,3448.48,184,273.97,50,74.45,753.42,4630.73
Manassascity,683,48952,VA,27957,0,0,10,31.06,55,170.84,32,99.4,141,437.98,1067,3314.39,86,267.14,6,18.64,301.31,4038.14
Fredericksburgcity,630,29744,VA,19027,1,4.47,9,40.21,27,120.63,63,281.46,102,455.7,631,2819.1,32,142.97,12,53.61,446.77,3471.38
Viennatown,,,VA,14852,1,6.27,3,18.81,4,25.08,7,43.9,66,413.9,379,2376.77,24,150.51,4,25.08,94.07,2966.26
ColonialHeightscity,570,18448,VA,16064,0,0,6,36.12,15,90.3,18,108.36,88,529.74,718,4322.18,43,258.85,1,6.02,234.77,5116.78
Charlottesvilledistrict,3,90672,VA,13057,0,0,28,68.01,80,194.3,180,437.18,384,932.65,1934,4697.25,149,361.89,15,36.43,699.49,6028.22
NewportNewscity,700,56000,VA,170045,22,12.16,103,56.93,71,39.24,1334,737.3,2101,1161.22,7267,4016.47,684,378.05,63,34.82,845.63,5590.56
Harrisonburgcity,660,35624,VA,30707,1,2.98,7,20.83,17,50.59,26,77.38,166,494.03,1214,3612.99,44,130.95,9,26.78,151.78,4264.75
Salemcity,775,70000,VA,23756,1,4.09,2,8.18,9,36.79,13,53.15,85,347.49,607,2481.5,23,94.03,9,36.79,102.2,2959.81
Herndontown,,,VA,16139,0,0,3,16.65,10,55.5,10,55.5,42,233.1,556,3085.8,21,116.55,2,11.1,127.65,3446.55
Poquosoncity,735,63768,VA,11005,0,0,1,8.47,1,8.47,40,338.95,19,161,150,1271.08,5,42.37,2,16.95,355.9,1491.4
Roanokecity,770,68000,VA,96397,11,11.27,32,32.78,217,222.3,305,312.45,118,120.88,4398,4505.41,315,322.69,57,58.39,578.8,5007.38
Radfordcity,750,65392,VA,15940,0,0,4,25.08,3,18.81,51,319.81,59,369.98,339,2125.79,14,87.79,7,43.9,363.7,2627.45
Hopewellcity,670,38424,VA,23101,2,8.1,12,48.58,41,166,120,485.85,230,931.21,1009,4085.19,37,149.8,33,133.61,708.53,5299.81
Winchestercity,840,86720,VA,21947,0,0,10,41.61,24,99.85,137,570,216,898.69,1494,6215.94,54,224.67,7,29.12,711.46,7368.42
Hamptoncity,650,35000,VA,133793,14,9.93,49,34.74,329,233.28,251,177.97,962,682.11,5532,3922.46,561,397.78,73,51.76,455.92,5054.1
Williamsburgcity,830,86160,VA,11530,0,0,3,23.65,19,149.77,5,39.41,48,378.37,390,3074.26,29,228.6,1,7.88,212.83,3689.11
Christiansburgtown,,,VA,15004,0,0,6,33.88,4,22.59,10,56.47,86,485.66,716,4043.37,38,214.59,0,0,112.94,4743.62
Petersburgcity,730,61832,VA,38386,11,26.6,26,62.88,221,534.51,293,708.65,810,1959.08,1720,4160.02,225,544.19,8,19.35,1332.66,6682.63
Waynesborocity,820,83680,VA,18549,4,21.12,5,26.4,5,26.4,50,264.03,136,718.17,597,3152.56,57,301,5,26.4,337.96,4198.13
Norfolkcity,710,57000,VA,261229,62,25.42,204,83.66,1428,585.59,1075,440.83,3732,1530.41,13535,5550.38,2173,891.1,135,55.36,1135.5,8027.25
Danvillecity,590,21344,VA,53056,10,18.26,24,43.82,78,142.41,99,180.75,388,708.38,1622,2961.31,82,149.71,17,31.04,385.23,3850.44
FrontRoyaltown,,,VA,11880,0,0,3,22.13,10,73.77,11,81.14,70,516.38,455,3356.45,25,184.42,4,29.51,177.04,4086.75
Richmondcity,760,67000,VA,203056,122,60.06,174,85.66,1578,776.83,1411,694.62,5081,2501.32,11571,5696.27,2215,1090.42,170,83.69,1617.17,9371.69
Stauntoncity,790,75216,VA,24461,1,3.99,8,31.89,4,15.94,30,119.57,110,438.42,625,2491.03,21,83.7,2,7.97,171.38,3021.12
Alexandriacity,510,1000,VA,111183,9,7.89,33,28.94,376,329.78,334,292.94,921,807.79,5682,4983.55,969,849.89,31,27.19,659.56,6668.42
Leesburgtown,,,VA,16202,1,5.01,8,40.05,4,20.02,17,85.1,54,270.32,408,2042.45,23,115.14,1,5.01,150.18,2432.92
Chesapeakecity,550,16000,VA,151976,13,7.13,61,33.44,327,179.28,385,211.08,1612,883.8,4958,2718.28,490,268.65,95,52.08,430.93,3922.8
Portsmouthcity,740,64000,VA,103907,33,31.58,56,53.59,746,713.84,532,509.07,1720,1645.85,5008,4792.12,1252,1198.03,127,121.53,1308.07,7757.52
Blacksburgtown,,,VA,34590,0,0,13,36.53,4,11.24,23,64.63,137,384.99,647,1818.18,14,39.34,0,0,112.41,2242.52
VirginiaBeachcity,810,82000,VA,393069,22,5.05,181,41.52,631,144.74,414,94.96,3261,748.01,14812,3397.57,1195,274.11,200,45.88,286.27,4465.56
Parkersburgcity,,,WV,33862,3,9.03,12,36.13,18,54.2,39,117.43,347,1044.87,820,2469.14,66,198.74,37,111.41,216.8,3824.15
Weirtoncity,,,WV,22124,1,4.64,3,13.92,4,18.56,44,204.16,115,533.59,288,1336.3,32,148.48,3,13.92,241.28,2032.29
Bluefieldcity,,,WV,12756,1,7.92,1,7.92,14,110.81,25,197.88,99,783.6,249,1970.87,13,102.9,0,0,324.52,2857.37
Wheelingcity,,,WV,34882,1,2.93,12,35.21,56,164.32,113,331.57,388,1138.5,557,1634.39,88,258.22,10,29.34,534.04,3060.45
Moundsvillecity,,,WV,10753,0,0,0,0,1,9.23,3,27.69,80,738.28,278,2565.52,34,313.77,0,0,36.91,3617.57
Clarksburgcity,,,WV,18059,0,0,5,28.19,3,16.91,7,39.47,73,411.59,365,2057.96,27,152.23,1,5.64,84.57,2627.42
Morgantowncity,,,WV,25879,0,0,24,90.21,13,48.86,59,221.77,208,781.84,1008,3788.9,50,187.94,7,26.31,360.85,4784.99
Martinsburgcity,,,WV,14073,3,20.04,0,0,20,133.6,35,233.8,202,1349.37,927,6192.38,65,434.2,15,100.2,387.44,8076.15
Huntingtoncity,,,WV,54844,2,3.71,61,113.04,83,153.8,158,292.78,787,1458.35,2259,4186.05,136,252.02,33,61.15,563.33,5957.57
Beckleycity,,,WV,18296,3,16.2,13,70.22,46,248.47,160,864.26,248,1339.6,1175,6346.89,64,345.7,12,64.82,1199.16,8097.01
Fairmontcity,,,WV,20210,0,0,1,4.83,12,57.99,95,459.07,119,575.05,614,2967.04,29,140.14,0,0,521.89,3682.23
SouthCharlestoncity,,,WV,13645,1,7.43,2,14.87,12,89.2,13,96.63,51,379.1,304,2259.72,36,267.6,2,14.87,208.13,2921.28
Charlestoncity,,,WV,57287,16,28.47,51,90.74,290,515.98,412,733.04,1293,2300.55,4228,7522.6,454,807.77,84,149.46,1368.23,10780.37
Viennacity,,,WV,10862,0,0,0,0,1,9.04,2,18.07,15,135.55,274,2476.05,6,54.22,2,18.07,27.11,2683.9
